Date,Close
1/1/2023 23:58:00,448.08
1/2/2023 23:58:00,448.08
1/3/2023 23:58:00,448.55
1/4/2023 23:58:00,449.01
1/5/2023 23:58:00,449.53
1/6/2023 23:58:00,450.05
1/7/2023 23:58:00,450.05
1/8/2023 23:58:00,450.05
1/9/2023 23:58:00,450.05
1/10/2023 23:58:00,450.08
1/11/2023 23:58:00,451.6
1/12/2023 23:58:00,452.13
1/13/2023 23:58:00,452.59
1/14/2023 23:58:00,452.59
1/15/2023 23:58:00,452.59
1/16/2023 23:58:00,452.62
1/17/2023 23:58:00,453.58
1/18/2023 23:58:00,453.58
1/19/2023 23:58:00,460.5
1/20/2023 23:58:00,455.06
1/21/2023 23:58:00,455.06
1/22/2023 23:58:00,455.06
1/23/2023 23:58:00,455.06
1/24/2023 23:58:00,455.07
1/25/2023 23:58:00,459.97
1/26/2023 23:58:00,460.28
1/27/2023 23:58:00,460.28
1/28/2023 23:58:00,460.28
1/29/2023 23:58:00,460.28
1/30/2023 23:58:00,460.41
1/31/2023 23:58:00,460.52
2/1/2023 23:58:00,460.52
2/2/2023 23:58:00,460.54
2/3/2023 23:58:00,460.54
2/4/2023 23:58:00,460.54
2/5/2023 23:58:00,460.54
2/6/2023 23:58:00,459.7
2/7/2023 23:58:00,460.42
2/8/2023 23:58:00,460.42
2/9/2023 23:58:00,460.47
2/10/2023 23:58:00,459.49
2/11/2023 23:58:00,459.49
2/12/2023 23:58:00,459.49
2/13/2023 23:58:00,460.52
2/14/2023 23:58:00,460.56
2/15/2023 23:58:00,461.5
2/16/2023 23:58:00,460.55
2/17/2023 23:58:00,460
2/18/2023 23:58:00,460.54
2/19/2023 23:58:00,460.54
2/20/2023 23:58:00,460.55
2/21/2023 23:58:00,460
2/22/2023 23:58:00,460.47
2/23/2023 23:58:00,460.44
2/24/2023 23:58:00,459.5
2/25/2023 23:58:00,460.44
2/26/2023 23:58:00,460.44
2/27/2023 23:58:00,460.5
2/28/2023 23:58:00,460.47
3/1/2023 23:58:00,460.5
3/2/2023 23:58:00,460
3/3/2023 23:58:00,461
3/4/2023 23:58:00,460.46
3/5/2023 23:58:00,460.46
3/6/2023 23:58:00,460.46
3/7/2023 23:58:00,460.5
3/8/2023 23:58:00,460.5
3/9/2023 23:58:00,460.5
3/10/2023 23:58:00,460.52
3/11/2023 23:58:00,460.52
3/12/2023 23:58:00,460.52
3/13/2023 23:58:00,460.5
3/14/2023 23:58:00,460.53
3/15/2023 23:58:00,460
